BookID,Title,Author,Genre,Subgenre,Publisher,PublicationYear,ISBN,PageCount,Price,CopiesSold,Rating,Language,Format,Edition,BindingType,CoverImageURL,Description,Keywords,Awards
1,The Whispering Pines Mystery,Eleanor Ainsworth,Mystery,Cozy Mystery,Oakwood Publishing,2023,978-1-234-56789-0,320,14.99,2500,4.5,English,Paperback,1st,Perfect,https://example.com/whisperingpines.jpg,"A charming amateur sleuth uncovers secrets in a quiet town.","Mystery,Cozy,Small Town,Secrets",
2,Echoes of Yesterday,Arthur Blackwood,Historical Fiction,Victorian Era,Grandview Books,2022,978-0-987-65432-1,450,19.99,1800,4.2,English,Hardcover,2nd,Case,https://example.com/echoesyesterday.jpg,"A sweeping saga of love and loss in Victorian England.","Historical,Victorian,Romance,Drama",
3,Beyond the Stars,Celeste Diaz,Science Fiction,Space Opera,Nebula Press,2024,978-1-123-45678-2,380,16.50,3200,4.8,English,Paperback,1st,Perfect,https://example.com/beyondstars.jpg,"A thrilling space adventure with epic battles and alien encounters.","Sci-Fi,Space,Adventure,Aliens",
4,The Art of Mindfulness,David Evans,Self-Help,Personal Development,Harmony House,2023,978-0-876-54321-3,240,12.95,4000,4.6,English,Paperback,Revised,Perfect,https://example.com/artmindfulness.jpg,"A practical guide to finding inner peace and reducing stress.","Mindfulness,Meditation,Stress Relief,Wellbeing",
5,The Dragon's Hoard,Fiona Greene,Fantasy,High Fantasy,Eldoria Books,2022,978-1-345-67890-4,500,22.00,1500,4.3,English,Hardcover,1st,Case,https://example.com/dragonshoard.jpg,"A classic fantasy quest filled with magic, dragons, and brave heroes.","Fantasy,Dragons,Magic,Adventure",
6,Crimson Shadows,Gregory Hayes,Thriller,Psychological Thriller,Darkwood Publishing,2024,978-0-765-43210-5,360,17.50,2800,4.7,English,Paperback,1st,Perfect,https://example.com/crimsonshadows.jpg,"A suspenseful tale of paranoia and betrayal.","Thriller,Psychological,Suspense,Mystery",
7,The Secret Garden Revisited,Isabelle Jones,Children's,Classic Literature,Wonderland Press,2023,978-1-456-78901-6,280,10.99,5000,4.9,English,Hardcover,Updated,Case,https://example.com/secretgarden.jpg,"A new edition of a beloved classic, with beautiful illustrations.","Childrens,Classic,Garden,Friendship",
8,Recipes from Around the World,Katherine Lee,Cookbook,International Cuisine,Global Flavors,2022,978-0-654-32109-7,300,15.50,2000,4.4,English,Hardcover,1st,Spiral,https://example.com/recipesworld.jpg,"A collection of delicious recipes from various cultures.","Cookbook,Recipes,International,Cuisine",
9,Coding for Beginners,Michael Nguyen,Technology,Programming,TechWise Publishing,2024,978-1-567-89012-8,400,18.00,3500,4.7,English,Paperback,1st,Perfect,https://example.com/codingbeginners.jpg,"A comprehensive guide to learning programming from scratch.","Coding,Programming,Beginners,Technology",
10,The History of Art,Olivia Patel,Art,History,Artistic Visions,2023,978-0-543-21098-9,480,25.00,1200,4.5,English,Hardcover,Revised,Case,https://example.com/historyart.jpg,"A journey through the history of art, from ancient times to the present.","Art,History,Painting,Sculpture",
11,The Lost City of Eldoria,Peter Quinn,Adventure,Action Adventure,Grand Quest Publishing,2022,978-1-678-90123-0,350,16.75,2300,4.3,English,Paperback,1st,Perfect,https://example.com/lostcity.jpg,"An archaeologist embarks on a dangerous quest to find a lost city.","Adventure,Archaeology,Lost City,Action",
12,Silent Screams,Rachel Roberts,Horror,Supernatural Horror,Nightmare Press,2024,978-0-432-10987-1,300,15.99,2900,4.6,English,Paperback,1st,Perfect,https://example.com/silentscreams.jpg,"A terrifying tale of ghosts and haunted houses.","Horror,Ghosts,Haunted House,Supernatural",
13,The Power of Positive Thinking,Samantha Smith,Self-Help,Inspirational,Hopeful Living,2023,978-1-789-01234-2,200,11.50,4200,4.8,English,Paperback,New Edition,Perfect,https://example.com/positivethinking.jpg,"A guide to cultivating a positive mindset and achieving happiness.","Self-Help,Inspiration,Positive Thinking,Happiness",
14,Chronicles of the Galaxy,Thomas Turner,Science Fiction,Space Exploration,Cosmic Voyages,2022,978-0-321-09876-3,420,19.50,1700,4.2,English,Hardcover,1st,Case,https://example.com/galaxychronicles.jpg,"A multi-generational saga of space exploration and interstellar conflict.","Sci-Fi,Space,Exploration,Conflict",
15,The Alchemist's Daughter,Ursula Vance,Fantasy,Urban Fantasy,Magic Realm Publishing,2024,978-1-890-12345-4,380,17.25,3100,4.7,English,Paperback,1st,Perfect,https://example.com/alchemist.jpg,"A young woman discovers her magical heritage in a modern city.","Fantasy,Urban,Magic,Alchemist",
16,The Last Detective,Victor West,Mystery,Police Procedural,Crime Solvers,2023,978-0-210-98765-5,340,14.75,2600,4.5,English,Paperback,1st,Perfect,https://example.com/lastdetective.jpg,"A hard-boiled detective investigates a complex murder case.","Mystery,Police,Detective,Crime",
17,Animal Farm Reimagined,Wendy Xavier,Children's,Fable,Storytime Books,2022,978-1-901-23456-6,250,9.99,5500,4.9,English,Hardcover,Modern,Case,https://example.com/animalfarm.jpg,"A reimagining of a classic fable for young readers.","Childrens,Fable,Animals,Morality",
18,The Baker's Secret,Yolanda Young,Cookbook,Baking,Sweet Treats,2024,978-0-109-87654-7,280,13.99,2100,4.4,English,Hardcover,1st,Spiral,https://example.com/bakerssecret.jpg,"A collection of delicious baking recipes for all skill levels.","Cookbook,Baking,Recipes,Desserts",
19,Data Science for Everyone,Zachary Adams,Technology,Data Science,Tech Insights,2023,978-1-098-76543-8,450,20.00,3700,4.8,English,Paperback,1st,Perfect,https://example.com/datascience.jpg,"An accessible introduction to the world of data science.","Data Science,Technology,Analytics,Data",
20,Renaissance Art and Culture,Abigail Brown,Art,History,Renaissance Visions,2022,978-0-098-76542-9,500,28.00,1300,4.6,English,Hardcover,Revised,Case,https://example.com/renaissanceart.jpg,"An in-depth exploration of Renaissance art and culture.","Art,History,Renaissance,Culture",
21,The Journey Within,Bethany Carter,Self-Help,Spiritual,Inner Peace Publishing,2023,978-1-210-98765-0,220,11.75,3900,4.7,English,Paperback,New Edition,Perfect,https://example.com/journeywithin.jpg,"A guide to finding your purpose and living a fulfilling life.","Self-Help,Spiritual,Purpose,Life",
22,Guardians of the Nebula,Caleb Davis,Science Fiction,Military SF,Galactic Command,2024,978-0-987-65431-1,400,18.50,3300,4.9,English,Paperback,1st,Perfect,https://example.com/guardiansnebula.jpg,"A gripping military science fiction adventure.","Sci-Fi,Military,Space,Adventure",
